Dataset,Analyte,Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,PO4_1_corr,PO4_2_corr,PO4_3_corr,PO4_avg,PO4_pct,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,higuchi_model__Parameter,higuchi_model__Value,higuchi_model__Slope,higuchi_model__Intercept,higuchi_model__R_2_transformed,higuchi_model__RMSE_in_F_space,higuchi_model__RRMSE_in_F_space,first_order_model__Parameter,first_order_model__Value,first_order_model__Slope,first_order_model__Intercept,first_order_model__R_2_transformed,first_order_model__RMSE_in_F_space,first_order_model__RRMSE_in_F_space,ritger_peppas_model__Parameter,ritger_peppas_model__Value,ritger_peppas_model__k_Ritger_Peppas,ritger_peppas_model__Slope,ritger_peppas_model__Intercept,ritger_peppas_model__R_2_transformed,ritger_peppas_model__RMSE_in_F_space,ritger_peppas_model__RRMSE_in_F_space,elovich_model__Parameter,elovich_model__Value,elovich_model__Slope,elovich_model__Intercept,elovich_model__R_2_transformed,elovich_model__RMSE_in_F_space,elovich_model__RRMSE_in_F_space,Best_Model,Best_Model_Parameter,Best_Model_Value,Mg_1_corr,Mg_2_corr,Mg_3_corr,Mg_avg,Mg_pct,NH4_1_corr,NH4_2_corr,NH4_3_corr,NH4_avg,NH4_pct
EPSRawData,Mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,0.0,0.0,0.0,0.0,0.0,,,,,
EPSRawData,Mg,0.5,20.0,23.0,17.0,12.5,14.2,12.1,0.56,0.59,0.56,,,,,,0.202020202,0.797979798,-0.22567199764225201,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.6946051989769981,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,20.0,23.0,17.0,20.0,20.2020202,,,,,
EPSRawData,Mg,1.0,22.0,22.0,27.0,14.5,14.4,14.1,0.57,0.58,0.58,,,,,,0.2390572391,0.7609427609,-0.2731971395866084,1.0,0.0,0.0,-0.6214981005204534,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,22.0,22.0,27.0,23.66666667,23.90572391,,,,,
EPSRawData,Mg,2.0,33.0,31.0,37.0,21.0,21.7,24.0,0.77,0.8,0.84,,,,,,0.3400673401,0.6599326598999999,-0.4156174796216723,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.4684350754928603,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,33.0,31.0,37.0,33.66666667,34.00673401,,,,,
EPSRawData,Mg,4.0,37.0,43.0,35.0,24.5,24.1,24.5,1.1,0.94,1.09,,,,,,0.3872053872,0.6127946128,-0.489725451717113,2.0,1.3862943611198906,0.6020599913279624,-0.4120586089696431,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,37.0,43.0,35.0,38.33333333,38.72053872,,,,,
EPSRawData,Mg,6.0,45.0,46.0,45.0,25.7,26.6,25.2,1.02,1.05,1.03,,,,,,0.4579124579,0.5420875421,-0.6123277737952553,2.449489742783178,1.791759469228055,0.7781512503836436,-0.3392175409588102,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,45.0,46.0,45.0,45.33333333,45.79124579,,,,,
EPSRawData,Mg,8.0,38.0,42.0,47.0,29.6,30.2,31.4,1.16,1.17,1.29,,,,,,0.4276094276,0.5723905724,-0.5579337017359672,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.3689527283708305,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,38.0,42.0,47.0,42.33333333,42.76094276,,,,,
EPSRawData,Mg,24.5,72.0,82.0,84.0,59.4,57.6,60.7,2.33,2.27,2.3,,,,,,0.8013468013,0.19865319869999998,-1.616194694661387,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09617949228606465,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,72.0,82.0,84.0,79.33333333,80.13468013,,,,,
EPSRawData,Mg,32.0,95.0,99.0,99.0,60.2,63.6,60.7,2.41,2.31,2.35,,,,,,0.9865319866,0.013468013400000034,-4.307437782732807,5.656854249492381,3.4657359027997265,1.505149978319906,-0.0058888289331617905,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,95.0,99.0,99.0,97.66666667,98.65319866,,,,,
EPSRawData,Mg,48.5,,,,73.5,73.5,73.5,3.3,3.3,3.3,,,,,,,,,,,,,k_H (Higuchi constant),0.15006305803168243,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826,k (first-order),0.10750441778505102,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361,slope (1/beta),0.17452566802471983,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,,,,,,,,,,
EPSRawData,NH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,0.0,0.0,0.0,0.0,0.0
EPSRawData,NH4,0.5,20.0,23.0,17.0,12.5,14.2,12.1,0.56,0.59,0.56,,,,,,0.1759637188,0.8240362811999999,-0.1935407194594588,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.7545768682611386,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,12.5,14.2,12.1,12.93333333,17.59637188
EPSRawData,NH4,1.0,22.0,22.0,27.0,14.5,14.4,14.1,0.57,0.58,0.58,,,,,,0.1950113378,0.8049886622,-0.21692708588635978,1.0,0.0,0.0,-0.7099401383767789,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,14.5,14.4,14.1,14.33333333,19.50113378
EPSRawData,NH4,2.0,33.0,31.0,37.0,21.0,21.7,24.0,0.77,0.8,0.84,,,,,,0.302494331,0.697505669,-0.3602446377210788,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.5192827599817202,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,21.0,21.7,24.0,22.23333333,30.2494331
EPSRawData,NH4,4.0,37.0,43.0,35.0,24.5,24.1,24.5,1.1,0.94,1.09,,,,,,0.3315192744,0.6684807256,-0.4027477151669425,2.0,1.3862943611198906,0.6020599913279624,-0.47949121681510315,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,24.5,24.1,24.5,24.36666667,33.15192744
EPSRawData,NH4,6.0,45.0,46.0,45.0,25.7,26.6,25.2,1.02,1.05,1.03,,,,,,0.3514739229,0.6485260771,-0.43305306462314724,2.449489742783178,1.791759469228055,0.7781512503836436,-0.45410689130062915,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,25.7,26.6,25.2,25.83333333,35.14739229
EPSRawData,NH4,8.0,38.0,42.0,47.0,29.6,30.2,31.4,1.16,1.17,1.29,,,,,,0.4136054422,0.5863945578,-0.533762409148532,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.38341375545115497,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,29.6,30.2,31.4,30.4,41.36054422
EPSRawData,NH4,24.5,72.0,82.0,84.0,59.4,57.6,60.7,2.33,2.27,2.3,,,,,,0.8058956916,0.19410430840000004,-1.6393595922477475,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09372116600393259,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,59.4,57.6,60.7,59.23333333,80.58956916
EPSRawData,NH4,32.0,95.0,99.0,99.0,60.2,63.6,60.7,2.41,2.31,2.35,,,,,,0.8367346939,0.1632653061,-1.8123787565682907,5.656854249492381,3.4657359027997265,1.505149978319906,-0.07741222329712637,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,60.2,63.6,60.7,61.5,83.67346939
EPSRawData,NH4,48.5,,,,73.5,73.5,73.5,3.3,3.3,3.3,,,,,,1.0,,,,,,,k_H (Higuchi constant),0.14018760282512607,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054,k (first-order),0.05396130878162242,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218,slope (1/beta),0.16309589983251585,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968,First-Order Model,k (first-order),0.05396130878162242,,,,,,73.5,73.5,73.5,73.5,100.0
